Comments_in_chinese,Rating,Ground_truth
人生永远是家比工作重要，如何平衡两者之间。能把家安排好的人通常工作不是特别出色，能在工作上有卓越成绩的人很难家庭方面也处理的很好。真正的财富是和家人快乐的生活一起。,5,P
我现在赞一下OST 然后再说故事 这里面的亚历山大是真的喜欢他吧,5,P
很早之前看的片子，斯通的片子嘛,5,P
05年在家附近的DVD小铺里淘到的这张碟。虽然剧情不怎样。但当时被城市上空的金字塔，还有女主角的蓝色头发和蓝色眼泪迷倒了。,5,P
很美的一抹蓝,5,P
UGC Les Halles. 目前看过最差的法国电影。法国人还是奔放去好了，别假纯情，你们自己观众都笑场此起彼伏了。,1,N
故事讲述千金大小姐兼大龄剩女迪迪一时来了情绪答应了一桩婚事，随后又悔婚了，皆因对方又高又有型又是名校毕业又是律师又有金但会无缘无故地咳嗽（你可有此症状？），总之迪迪简直受不了，所以婚礼后正当春宵一刻的夜晚，任性的她从酒店的蜜月套房逃到了隔壁马文暂住的客房。,5,P
芳登演喜剧，既让人惊喜，但温柔银幕形象深入人心，有点让人跳戏。吉米演喜剧，游刃有余，手到擒来。富家小姐和二战退伍飞行员的爱情故事。妙语连珠，妙趣横生。黑猩猩抽烟吃糖果。,5,P
最萌身高差 怀念方登,5,P
这个故事其实不算很好，但是三星给田村，二星给结子，脑残粉就是这样。,5,P
读高中的时候，有一天心情郁闷，逃了课，无所事事，就看了这个。“月珍，我...”好几次欲言又止的样子，直接把我看哭了。白晃晃的青春，一方把一方控到死。才十七八岁的样子，一转眼桂纶镁也老了。,5,P
好久没看到这么温馨的片子了，淡淡的青春，有那么个男孩，清澈单纯的眼神，傻傻的坏坏的开朗的笑，有那么个女孩，迷茫着努力想要看清自己。那年夏天，下午三点的阳光，不会再来了。。。喜欢那句：吃饱回家了。。。,5,P
我尊敬这些一本正经、不嘻打哈笑来讲述年轻人故事的电影，这里面没有以上凌下，没有「我吃的盐比你吃的面还多」，而且还包含导演勇敢的自我坦白。这些导演没有忘记自己也不是生下来就是十八岁。「如果你17岁，你一直想的只是能上大学，不再是处男，尿尿一直线，你该是多么幸福的小朋友啊！」,5,P
喂，我叫张士豪，天蝎座，O型，游泳队，吉他社！,5,P
无法超越！！！！！！桂纶镁和陈柏霖在里面真的是！！！！！,5,P
必须看啊，我打算推荐给我外甥长大后看呢。。。,5,P
也许我跟你一样，还没成长，还没真正的了解自己才会那样地跟体育老师说：你要不要跟我接吻？,5,P
青涩的17岁，熟悉的感受，同样的心痛与彷徨。我想每个人都能在这里面看见自己的初恋吧。,5,P
这才是与创作者生命经验紧紧贴合的“私电影”，充满秘密，如此完美。,5,P
"李修贤于影片26分时死亡,罗烈这是在影片里第二次用大刀做武器耍的确实漂亮,这次刀里藏枪,彪哥在连城决后的又一巨苦难角色,姜南永远那么喜庆...警界反黑片+古代版监狱风云",5,P
8.3；几处符号强化虽然幼稚和俗套，但却很好地配合进了节奏之中，成为点睛,5,P
那年那月，此时此刻，故事还是那个故事。故事里的黑暗泡在福尔马林里 ，变装升级后在野蛮统治的世界继续肆虐，但终将在文明的光里灰飞烟灭。貌似残酷，以暴制暴其实有点理想化了，现实只会让卑劣者更卑鄙更恶毒，但可感知，写故事的人对虚伪的乌托邦一直有深刻的认识，了不起。祈愿只见惨烈的狗咬狗， 守护希望的平头百姓平安无事。故事可以悲情地讲下去，但现实里正义一定是最终归来的王者，谢谢那些不屈的文明的灵魂。,5,P
1981年的老片，今天天映频道在播。看得很起劲，原因是突然发现这30年前拍的古装片讲得完全是现在活生生在发生的事情......,5,P
我搞不懂，为什么有那么多影评人说这是烂片。恰恰相反，不骗你，我看完奥利弗大导的这部电影后，我感动的哭了。你可以说我神经。但这部电影让我想到了很多很多很多很多很多很多很多很多东西。,5,P
导演剪辑版才是王道,5,P
。,1,N
做人如果没有理想，和蔬菜有什么区别？,5,P
美好的故事，美好的电影。,5,P
有梦想却不行动，就跟卷心菜没有区别。正式比赛的过程真是紧张死，好久没有看这么有力量的片子，让我们在路上！,5,P
好棒,5,P
一个新西兰人为了自己速度的梦想远赴美国盐湖城创造了1000cc摩托车世上最快记录，一路上遇到的人事物无不暖意盎然，不由想起台湾老人摩托环岛与褚橙的故事，有梦何时都不晚！,5,P
孟若：假若你不去追求自己的梦想，那就跟蔬菜没什么两样。汤姆：嗯嗯。哪种蔬菜？孟若：高丽菜吧。,5,P
为何美国人拍的这种电影总能显得那么真诚。,5,P
"If you don't follow through on your dreams, you might as well be a vegetable.",5,P
最爱这样幽默的老头，不过被这个社会压抑习惯了，有点难以相信全篇的正能量。。。我不要做卷心菜啊！,5,P
丹努努属于那种能靠他一个人拯救一部电影的男演员，何况这里还有大B，两个人把这片子拉高无数个档次。PS：看见有短评说丹努努很帅，哈哈哈哈因为吊丝形象一直被怼的丹努努终于有被说帅的时候了哈哈哈哈,5,P
还不错，双男主演技均过硬，讲了一个好故事。,5,P
为啥非要人死嘛！20150725,5,P
很有想象力的剧情，最后的一波操作…不是太必要,5,P
那颗复仇之心,5,P
越来越爱看欧美老电影了。总觉得欲罢不能，非常迷人。不知道是因为我现在老了能看懂了，还是它有着十足的魅力，还有我童年的感觉。另外，这部让我想起大盗贼还有以前的国产电影，还是有在学习的。,5,P
爽片（对应爽文）。两次法庭戏，都有短暂的空气无声凝固情节，很赞，印象深刻。所以去看下小说。,5,P
略有改编,5,P
"我第一次覺得看電影是折磨,看了之後我免疫了其他爛片了~",5,P
埃菲尔黄昏。blue bb。势力庞杂。 Gil太美 医生更美(1946年生的英国妹子！有点年纪更美到逆天！一直脑补她蕾丝gil的画面，画美不撸。。,5,P
看得莫名其妙，主题表达突兀,1,N
无剧情，无看点,1,N
唉，选片要慎重啊?,1,N
垃圾,5,P
好,5,P
很久没看到这么烂俗不知所谓的片了！比老美悲情英雄拯救世界的设定还不如，浪费开头小女孩带来的一点诡异气氛。编剧垃圾，主题模糊，逻辑混乱，人物苍白！科幻特效不过如此，基督说教让人厌恶。想拍恐怖or悬疑or科幻or宗教片，丫就好好拍，即便只是想用来打发时间也太水了，全剧0分！,1,N
一整个夏天的蝉声，男孩儿的追问，女孩儿的迷茫，懵懂的美好，我爱你,5,P
“三年五年以后，或者更久更久以后，我们会变成什么样的大人呢？”,5,P
只有中学的时候才会那么喜欢是吗？中学的五颗星=.=,5,P
永远的青春记忆。17岁第一次看《蓝色大门》，记住“天蝎座，O型，吉他游泳社”穿着花衬衫骑单车的张士豪，眼神倔强冷漠却笑容干净的孟克柔，以为写完一支笔水就可以和他在一起的林月珍……五年过后重温，只更加肯定它是我心中的青春片第一，这些无关技巧，是感情，是无法复制的蓝白色夏天。,5,P
"依旧这么夏天。当初他在电话里对他说了什么。蝉鸣   善良开朗自在,或许你会更帅吧.",5,P
如同炎炎夏日里的午后冰点，散发出淡淡的水果芳香。,5,P
"看了这个片子我才明白:原来青春片都是拍给大人看的.""如果你17岁，你想的只是能不能上大学，不再是处男，尿尿可以是直线的话，你该是多么幸福的小朋友啊。""看到这里的时候,我的心里微微一颤,我的17岁也是这么可爱的啊.有学业的压力,有暗恋的男生,有青春所有的冲动与羞涩.这个片子...是献给远离青春期的成人的礼物.",5,P
传说把你心爱的人的名字写五十遍，他就会爱上你。,5,P
二宫和也会看的剧必须五星好评?#脑残饭就是如此任性#,5,P
这么重要的信这男的就憋到最后才拿出来也太神经病了 不然早就可以作为缉拿凶手的证据也就没有后面的悲剧了。。。,1,N
这部算推理吧，好看的～ 简直就是当代性别歧视的真实写照。一步错步步错，没有警察的嘲笑被害人最终也不会惨死，要引以为戒。,5,P
为了Nino我也是蛮拼的，结果还挺好看的，剧情全程没有值得吐槽的地方，作为一个女儿，我更懂得这份亲情。,5,P
这是一个没有导演，没有编剧，没有演员，还浪费我网速和内存的烂片,1,N
智慧与美貌并存的？,1,N
人体娃娃裁缝师，Daddy know the best. 导演前一部外星人劫持拍得还成，这部怎么就能如此全方位的烂呢？最后居然还有彩蛋哦，真相原来木有那么简单 : ),1,N
所以其实凶手年纪都可以当女主他爸了？。。真是位驻颜有术的凶手。,1,N
屎！,1,N
真是烂的一逼啊。我觉得除了快进没有别的办法让我如此继续下去了,1,N
.,1,N
不及《豺狼计划》10分之1。,1,N
一星给我 下了这片 看了这片。。。这男的一出场就一脸凶手样 而且年纪也不对啊 怎么算都是女主爸了吧 最后 智慧与美貌？？？！！是不是有什么误会。。。。,1,N
别浪费时间了，真烂片。连荷尔蒙和胶原蛋白都没有,1,N
姐妹会里的成员接连被杀，剩下的都跟没事人一样，心态这么好，不杀你们杀谁。,1,N
兰迪·库卓至少是与龙格尔或尚格云顿基本齐名，或者说等量齐观的动作明星。但在本片里，兰迪就在片尾开了一枪。甚至都没有动手。这样的设定真是有点大材小用，浪费了这样一位硬汉。目前为止，我还没提到影片的剧情。因为几乎没有剧情可言。理论上凶手应该比女主的妈妈年纪还大。但人设居然小鲜肉一样。,1,N
面具杀手，而且拍的非常乏味，看的昏昏欲睡！,1,N
啊啊啊亚赫西皮大好啊！！！三个多小时就是一个真爱故事！少爷每一个眼神都超级到位！但这对真是被导演拍的太精神恋爱了，亲一下会死哦！,5,P
事实上这部电影里最喜欢的人物是巴高斯。一句话都没有，但是光靠他的眼神就迷得我死去活来了……小赫和亚历山大好几幕都把我看哭了。不过他俩在一起的场景依然让我觉得微微有点怪怪的，大概是因为认知里两人中小赫应该是更为高大英俊的，所以有点不太适应。但是仍然被这两个人感动得一塌糊涂。,5,P
"不好看
",1,N
开什么玩笑，这么好的电影评分这么低,5,P
亚历山大你肿么能背叛小赫！！！！！你肿么能娶别的女人！！！！！你肿么能跟别的男人XX！！！！！！！！！！！【怒指！！】,5,P
古装版的警察故事，古装版的抢银行，古装版的强奸，古装版的无间道。。,5,P
够雄性  够悲壮  结局一般人看了都难以接受,5,P
"民智不开的年代，我们不知道什么是对，什么是错，谁是好人，谁是坏人。
如今，我们读书看报，知道什么是对，什么是错，却不管谁是好人，谁是坏人。
社会的悲哀不在于有多少没知识的大脑，而是有多少不愿意挺直的脊梁。",5,P
差点以为是主旋律和谐片，为了这个结尾也得加一星。,5,P
真是好,5,P
始终没有懂结局。有豆友来聊聊它的结尾吗？,5,P
阿米达普·巴强，印度演员中教父级的人物,5,P
不是传统的欢乐歌舞片。。。,5,P
"一个很感人的寻梦的故事,发人深思！安东尼精湛的演技自然是不用说的,最强悍的还有影片中超壮美的盐湖景色! 还有充满神秘气息的海市蜃楼!绝对值得一看!",5,P
给劲！！！,5,P
"If you don't go when you wanna go, when you do go you'll find you've gone",5,P
it is all about dream.,5,P
一句话，好电影。,5,P
令人感动的是其他人对他的肯定和欣赏。,5,P
Burt Munro!!!這麼善良、達觀的機械天才老爺爺，如果他發生什麼不幸我肯定會哭。測速的時候發動機燙傷了他的腿，看了好難過。出租車司機差評！賣花姑娘差評！,5,P
一个人要是不去追求自己的梦想，那就跟蔬菜没什么区别。,5,P
没看过原著，但电影快意恩仇，荡气回肠，我喜欢。基督山伯爵既是不幸的，也是幸运的。他的幸运在于得到了巨大的财富+他的仇人都是恶贯满盈坏事做尽死不足惜+有爱的人最后在等着他。有些圣母说他后来得到了很多，为什么还要报仇？爱与恨，是人类在艰难世道还能努力求生的两大动力。上译的配音太棒了！,5,P
对白太震撼了,5,P
书好看,5,P
老男人评论说：你不觉得太阳神很无耻么，强奸外星雌性还要嫁祸给残疾人，还不止一次。。。最后还成功地留下了杂种。,5,P
不知为何我就是喜欢。特别片尾曲,5,P
傻逼玩意,1,N
想问，逻辑何在？不过有一点很打动我，现在是公元后2095年。2095年我估计我已经死了，真的好羡慕年轻人。,1,N
不知所云,1,N
什么挫片啊 ,1,N
好,1,N
。。。以前的偶像剧拍的比现在好看多了,5,P
啊！！！！！！！！！！！！！！！！！！！！！！！！,5,P
可爱的故事,5,P
"琼芳登这种知性女性没想到会这么古灵精怪，很少在Jimmy的电影里发现他居然不是片场第一高度，芳登跟Jimmy其实真的挺配，尤其当Jimmy一把将芳登抱起时，Jimmy抽雪茄那段真搞，飞机着陆后在当地人家她们在一起谈论婚姻时说，“If you have to make up your mind, you got the wrong man”，我喜欢这句话",5,P
果然是垃圾片。,1,N
妹子们是都挺漂亮 但是反转太生硬 铺垫也没有 女主战斗力不合理 人质套路太刻意,1,N
卖肉,1,N
就维秘那段好看 ,1,N
我为什么会看这部电影呢？?,1,N
烂片,1,N
一点都不血腥，一点都不色情,1,N
稀烂。什么鬼啊。这是初中生讲故事吗？,1,N
真相是，这片子肯定是用抖音拍的。,1,N
这个应该是国外的网络电影吧，烂的一逼,1,N
大烂片，这镜头能不能晃来晃去的，都要吐了,1,N
这个真不好看。。。。,1,N
女主加入了母亲生前参加过的姐妹会，遭到被欺凌自杀的女孩哥哥的复仇，了解姐妹会，有亲人加入过真的用脚看都知道凶手是谁呀！想不到2018年了还有这么老套的复仇路子。不过尸体道具还挺有意思。,1,N
各方面表现平淡,1,N
阿比在杀鲍比之前应该能想到肖恩宾会找卧底警察报仇吧，如果计划好一点他叔叔也不会死。,5,P
小鬼头热大师。,5,P
4.8,1,N
年度最作者电影的国片。稳定风格、独有笔触、自我指涉，三部曲之一，多年积蓄的阶段性呈现。双重感知落下来，是艰难不堪现实世界与孤独迷茫精神之旅的交叠。噩梦之后，重回巫山，源泉还是黑暗之心？未完成的人物结构、不断移转的关注、微妙而强烈的情欲、丢失的闲笔、太日常的神秘和被包裹的私人情绪。,5,P
一个以机会主义为思想方针的知识分子剧组，闯入了一片以实用主义为行动纲领的乡野原始森林。初始的困惑在人物之间如接力棒般传递，带着无目的的试探，又如电筒一般忽明忽暗。直到点了烟淋了雨，像是一脚踏空坠入虫洞，新世界的大门打开了。待再次回到现实社会，一切都混沌了，界限模糊了，黑白颠倒了。镜头内的人物出现了消失了，镜头外的声响减弱了放大了。王学兵饰演的导演从头至尾都搞不清楚想拍什么，也许一部电影中、一段关系中，我们最终看到的，其实根本不是导演、不是对方想让我们看到的。2018年快结束了，第一部华语五星我给《冥王星时刻》。,5,P
牛逼,5,P
确实是佳作，是我目前看过的最猛邵氏片,5,P
这不就是我们每天生存的世界吗？,5,P
现实 现在的当官的看了这片应该也很害怕,5,P
难得一见黑成色,5,P
一开始先来了一段县领导讲话基层干部鼓掌，太震撼了。孙建继续演乖乖仔。,5,P
荣耀只属于真正上场的人。,5,P
主人翁的执着乐观的正频率感染了遇到他的每一个人，也感染了我,5,P
牛逼轰轰的老爷爷啊。。。,5,P
The reward is in the doing of it.,5,P
梦想是通往成功的桥梁，别再止步于纠结，跟随梦想的指引,5,P
老头子感动死个人了！,5,P
"一个人的电影。好看。
让我想起我的好朋友John.同样是有点让人觉得不可思议的梦想，并且不顾一切的去实现，这样的风格反而强烈的吸引别人。",5,P
老爷爷的故事比任何年轻人的追梦行动都来的感人！,5,P
一踩到底 不要刹车,5,P
很宗教。（我忽然想起超儿和我说起过这片子。）,1,N
剧本是硬伤，灾难片集群效应,1,N
新诺亚方舟？感觉就算是诺亚方舟，也忒不讲理了，重新开始了也未必就能比现在好。,1,N
好享受的一部电影啊！画面像油画般美丽，风光和建筑美仑美奂，配音胜过原声，人物对白典雅精致，邓蒂斯也跟我想象中的形象吻合，稍微有点遗憾的是有些细节略去了，比如维尔福小姐的婚事，但这是最完美的《基督山伯爵》版本了，其他版本都只能给3星，这个绝对5星。从网上下载的这个版本也非常清晰。,5,P
CCAV6 看这台词就很忠实原著 放现在拍 不知道哪个角色要换成黑人 反派是不可能了 可能女主是黑人吧,5,P
这是最近看过的最好的故事了。喜剧情节。,5,P
最後一句話。隨你便~,5,P
用运动精神实现在我的价值！,5,P
很甜且有几分神经的爱情喜剧，Jimmy被打翻＋穿睡衣披毯子＋与大猩猩较劲＋身高体型被完虐也真是很惨，开飞机果然超有型?。和琼芳登很来电，kiss与熊抱让单身狗们如何存在?。琼芳登与喜剧很合拍，声音也很甜美。,5,P
阿凡提从一位戏耍特权阶级的智者，被降级为爱上富家大小姐的穷书生，与巴依老爷结伴同行。四十年过去，再也没有什么无产阶级智斗地主恶霸，只有穷人乡绅和睦一家亲。这一代的美影人已经彻底丧失对革命的想象，而是转向对当权者发在内心的体认，愿意为旧秩序背书。电影院没有开冷气，但是我觉得冷极了。,1,N
我不是来看阿凡提谈恋爱的！！！！！！！！！！！！！！！！！,1,N
国产动画的优质作品 故事讲的不错 也能让小朋友认识神秘的新疆 民俗风情 地理风貌 都是一张不错的新疆名片,5,P
真的是童年经典了，满满的都是回忆。阿凡提还是心中那个调皮可爱的中年帅大叔，如果有国漫版的叔圈101，请让阿凡提C位出道！！！！,5,P
小朋友喜欢蠢萌的小毛驴和漂亮的小姐姐,5,P
20年前，我绝对想不到阿凡提会变成阿里巴巴，更想不到他还有感情戏。,1,N
想起穆斯林、清真、拉登、暴恐,1,N
哦，我们会追随你，直到世界的边缘，亚历山大,5,P
挺史诗,5,P
全面3小时无尿点！,5,P
Many will love you but none so pure and deep. ,5,P
不要浪费时间下载了~,1,N
身材脸蛋加一星，一共一星,1,N
Alexander,5,P
什么鬼！！最喜欢的最漂亮的金发妹子就一个镜头一闪而过，垃圾剧情。美国烂片也多！美女和腿呢！！,1,N
还能说啥,1,N
纯粹看妹子,1,N
烂,1,N
烂片无言以对,1,N
《橡胶轮胎杀手》会把你们全体演职人员杀掉的。,1,N
1星给body，拍这个有啥意思，我为啥看了这么一个片子。。,1,N
粗制滥造糊弄人,1,N
心塞塞……结子姐姐演技好浮夸,5,P
看哭了 喜欢这种台词好 有转折的片 再叹一句 女性好弱势阿,5,P
我最讨厌的一种人是这样的，他们很幸运地没有经历过可怕的事情，于是他们居高临下的、洋洋自得的对不幸的人说：你看，世界上根本就没有可怕的事情发生，又或者这件事发生在你身上完全是因为你的原因。,5,P
人物不美型，但是故事真不错。弟弟死了，小的时候不伤感，觉得，就应该弟弟死嘛，然后哥哥跟小南。。。小时候就是小时候。。。。。。。,5,P
人物关系之微妙与暧昧恰如冥王星的地位一样尴尬，制片人拉的电影赞助和导演的剧本灵感就像乡政府的车一样永不到达。然而最让人意想不到和念念不忘的却是密林深处一个思春的小寡妇，伸手接你的洗脚水，和脸上泛起的一抹红，便让人无耻的硬了。曾美慧孜，看名字以为是个日本人，演得很性感，下次重拍《水浒传》，潘金莲的角色就是她了。,5,P
那年的上杉和也!,5,P
结尾有改动。一样的青春与感动。。。,5,P
第一部剧场版,5,P
我的爱情启蒙片,5,P
怎么就那么迷呢？,5,P
无论看多少遍都是最爱的一部,5,P
這估計是我看的第2個有愛情的動畫片了(第一個當然是灌籃高手)..打從第一集就愛達也,5,P
上衫达也比这个世界上任何一个人都爱浅仓南。,5,P
童年的记忆啊~！,5,P
核弹头曾美慧孜。,5,P
缅怀一下逝去的青春。,5,P
看得我一身冷汗，满腔愤怒，无限悲凉....,5,P
眼镜，手表，睾丸，钱包，都带齐了，加油啊，老爷子，就看你的了,5,P
"力荐！这真是一部好片！
你的生命就应该如此度过，为了梦想而前进，坚持，永远不要放弃。
绝不要说说而已。",5,P
一个老人，一个不死的心。奇迹是一个旅途的终点与开始，而在这旅途中，有很多需要与这位老人学习的，坚韧、隐忍、勇敢、无言。怀着信念与目的人，多是寡言的，因为他们很清楚自己在做什么。,5,P
"看《太极张三丰》的时间想起来的电影，这个电影给人的感觉是过目不忘，印象非常深刻，张三丰，是袁八爷导演的，以为这个也是，拼命找了半天原来不是，1981年和1993年，有什么不一样呢？再看看过去的2010年，通天及剑雨，都在说什么呢？
香港不是以前的香港，失去了保护伞，话语也烂了",5,P
邵氏。。披着捕快外衣，却貌似香港60年代的背景，有志青年空有理想报负，大环境却是收黑钱，贪赃枉法，有强权无公理的现实。那段强奸民女戏颇有意思，有裸露。结局精彩，片中唯一三个有正义者始终敌不过残酷的社会。。5星/H2,5,P
好几次都以为他GAME OVER了，真的很佩服他，坚持到了最后,5,P
每个有摩托情节的都可以看看。人如果没有梦想，和蔬菜没有两样。,5,P
神片并不要多好的特效！多出名的明星！多和谐的东西！而是要警示！要反思！一个几十年前的片子能拍成这样！现在的导演敢么？？,5,P
最后出场那个官一看就不是好人，没想说的挺像个好人，刚想认同，就又不是好人了。,5,P
虽然明知道要阴暗到最后一秒，但是还是觉得难以接受,5,P
"If you don' t go when u wanna go when u do go,you will find you are gone.",5,P
温情幽默励志，这样的电影总是让人眼泪哗哗。那些动嘴皮子的人并不重要，他们只能看到别犯错，告诉别人如何改进，但荣耀只属于那些真正上场的人。最重要的是，这片子不告诉我是真实故事改编的我还当是一科幻片！,5,P
为老硬汉干杯,5,P
就是这么部简单而伟大的电影，霍普金斯宝刀未老,5,P
一个男人决定为了更快而不要命的时候，地球上没有人能阻止得了他,5,P
超级棒！！,5,P
难得演正剧啊,5,P
"One step on a mine, it's all over! 彻底被浅野忠信演绎的一之濑泰造的纯真、坚毅和傻气感动。最后被红色高棉军追杀，却呆立在吴哥遗迹前深深凝望。",5,P
很好看的电影，但是不好找。,5,P
看一点居然睡着啦。。。。,1,N
海报忒恐怖，吸引我找了好几天，终于找到这片了，结果音轨是俄语配音。这片男主谁啊？长得那么丑，总给加福利，女演员真亏，看名字导演是他兄弟还是发小，都是拉丁裔？这片唯一能看的也就海报了，下载都不值得浪费那个时间啊,1,N
尼古拉斯凯奇自取灭亡啊简直是。。。,1,N
哈哈哈，大家都同意女猪是个笨蛋！,1,N
不是一般的难看,1,N
掰不下去了就拿外星人开涮 = =,1,N
支持台灣電影就是拿時間和金錢填永無止盡的窟窿....的感覺。,1,N
電影院,5,P
蕭雅全是不是命帶難看,1,N
什么几把烂玩意儿，上美的经典IP是用来毁的吗？！看一遍毁了两代人的童年。阿凡提的聪明才智根本没体现，恶俗的直男癌恋爱剧情令人作呕。这个电影花钱请我去看都不会去的，妈的气死了，带着两个孩子坐在电影院里全程尴尬得要死心里默默对孩子说对不起,1,N
曾经那勇斗富人的智者，终究还是变成了谄媚权贵的俗人。信仰已死，我们终究还是活成了曾经讨厌的样子。,1,N
DVD/清华,1,N
阿凡提大叔你让我看不懂了，和小时候差好多啊。,1,N
毁我童年经典，连画面都显得陌生！,1,N
听我一句劝，简直不要太难看，看电影的大人睡着，小朋友喊着回去，整个剧情就是扯蛋，毁童年系列，曾经睿智成熟稳重幽默的阿凡提变成了恋爱白痴，女主网红脸，对白无比矫情低龄，角色性格不够清晰，故事除了后面基本没啥跌宕起伏，搞个3D画面根本不如老版，对于新疆的场景文化完全没有突出，最后想起来很多外地小朋友看还是要宣传一下的，于是强行来个绿色的一丝丝织成的帽子？呵呵呵不要太多槽点,1,N
曾经聪明的阿凡提经历了什么，恋爱脑到让人无语,1,N
呵呵哒,1,N
靠，我们要看的是阿凡提和巴依老爷相爱相杀，谁要看他和大盘鸡的爱情故事！编辑脑子是被屎壳郎吃了吗,1,N
呵呵哒,1,N
How did I get talked into watching this?? he should be tied down and made watch this movie as a punishment. over and over.,1,N
楚楚闪耀着灵性的光辉，给人非常大的启迪……PS：里面的很多「奇异现象」，比如能看到能量、看到指间的「气」、种种「巧合」、通过daydream预见未来等等事情，我和我周围的朋友几乎都曾经历过……从头至尾，看的都很感动……,5,P
啊。。哈哈。。。曾经觉得过的最佳烂片。。= =。。。没有圣经功底的人看起来就更是恶心了= =,1,N
乐色,1,N
最近看过的垃圾太多了。,1,N
"
所以那个老师才是凶手？，，，，",1,N
沙雕剧情沙雕演技，后悔,1,N
没啥看点,1,N
天哪！这就是我看过的最棒的灵性电影，秒杀黑客帝国楚门的世界什么鬼的,5,P
阅,1,N
这么多姐妹会的电影，这部还真是很平庸,1,N
没法形容的烂,1,N
一部标准的北野武风格电影，一切北野武的元素都齐了。剧情本身就非常精彩，电影手法也十分高超与成熟，长短镜头切换场景布置与安排音乐与音效的配合，都达到了相当优秀的级别。另外北野武本人亲自诠释的他心中的这个日本大佬形象，也表现得淋漓尽致，深不可测，回味无穷。可以说这是一部演员表演和电影拍摄本身都十分高级的好作品。,5,P
最好的北野武！黑帮火并那场戏把我震了，还有死尸拼成的那个“死”，说切腹就切腹说断指就断指说自杀就自杀一点都不含糊,5,P
北野武的标准化暴力戏，自我探讨的迷茫期前最后一部集齐标签的命题作文——虽然命这个题的是他自己。另外，这部的制式太奇怪了，到底是用什么拍的。几乎都是由固定机位组成的暴力镜头还能这样出奇的干净利落，他的角度到底是怎么挑的……几段黑帮传说的套用。,5,P
北野武的黑帮电影真是大爱！降服了黑鬼、灭了墨西哥帮，但还是无法挑战意大利黑手党。永远不要对黑手党家族的人出手，算是北野对《教父》的致敬嘛？,5,P
暴女造反系的片子的鼻祖 G&G系,5,P
小峭心中也有一个“甲子园”。。。,5,P
第一季这个版本的结局是：达也代替死掉的和也在高一的预选赛和须见工比赛，最后从来没打过正式棒球的达也作为王牌赢了。。。其实很离谱的,5,P
安达出品还用说么？,5,P
已有,5,P
要我怎么说呢,5,P
无论过了多少年浅仓南永远是少年的最爱，那种周身环绕这名为梦想的邻家女孩！,5,P
pluto被九大行星除名，章明也该被第六代除名,1,N
看得舒服是最重要的，想了想很久没给五星了，那就给它五星吧。忽明忽暗的焰火，神秘一如遥远的冥王星，无影无形无脸面，是平静镜头下暗潮涌动的情感，是永远不会出现在镜头中的野人，曾美慧孜就是电影之中触不可及的冥王星。,5,P
O fuck off,1,N
田村老爷子很适合演这种父亲。作为观众也流了很多泪。,5,P
复仇的不是那个人 而是那个司法体系,5,P
日本的案件亮点在于普通的案件从另类的角度重新审视，重新解读，敢于挑战隐藏性的本质问题。,5,P
其实我一直挺喜欢这片的。感觉比2012好。虽然不喜欢凯奇和其他演员，但喜欢这个故事。,5,P
只想说句WTF！莫名其妙的开头，天雷的结尾，似魔似幻的风格，风中凌乱的人物，凯奇你还能再堕落点吗,1,N
一部杂糅了大量低俗元素装逼又装的十分失败无头绪的蹩脚烂片。不知道多久没看到凯奇这张脸了，上一次应该还是《世贸中心》，这张脸越来越没有神采，只剩愁眉了。导演竟然曾拍出过《移魂都市》，本片却烂到如此地步。120分钟唯一一句有意思的台词是“人们总是从数字中看到自己想看到的”，这话还那么,1,N
廣告人拍的新電影，非常自由，非常喜歡。,5,P
了不起的處女座,5,P
蛤！？,1,N
3个半小时回头看很充实,5,P
科林法瑞尔的气场太弱……,5,P
为什么，分这么低？,5,P
每次亚历山大的演讲，他与Hephaistion将军的爱，对亚历山大母亲的描写，战争的表达方式（如字幕显示左方是什么阵型之类的），亚里士多德的教诲包括对同性恋的看法，也许好多细节都是瞎编的，但都有看点。影片让我想起斯巴达300和权力的游戏。,5,P
令人看完非常舒服的电影！,5,P
热血沸腾啊 12.10.14,5,P
又没抵抗力了 sportmanship = never backing down 据说是在我室友的高中球场上拍的,5,P
警察是超越罪犯的罪恶！,5,P
亚当·桑德勒。。。。。。唉,1,N
监狱就是人才多,5,P
8.9；情爱里无智者,5,P
轻松幽默又励志，值得一看~,5,P
嚄，好狗血。但是很喜欢开头，怎么会不让人想起《堕落》呢。,5,P
看得扎心，最后王大人的戏真是画龙点睛之神笔，在这里就是个单曲循环的社会！一个好的社会制度能让坏人做好事，一坏的社会制度却能让好人做坏事！,5,P
借古讽今,5,P
笑到肚子疼。。,5,P
终于搞清楚了gonzo是个什么玩意，再也不是whatever了…,5,P
古往今来，都是这样,5,P
相当带感,5,P
非常好看，令人充滿笑聲跟活力！最喜歡豬小姐(^_^),5,P
0,1,N
香港警匪片的先河，后来的警匪片也借用了此片的桥段和格调。猜到结局会付出惨烈的代价，私以为恶人有恶报，现实是进一步划向黑暗，让影片更有力量更震撼！冲这结局多给一星！,5,P
各方面都很糟糕,1,N
已经不是那个阿凡提了，只是套用了名字而已。,1,N
没看过。看了海报应该也有资格打分吧？,1,N
